number,name_anglicized,name_latin,title,region_anglicized,region_latin,fief_area,fief_latin,knights,knights_shared,villanos,commendatarios,held_from,held_from_latin,augmentum_knights,augmentum_knights_shared,augmentum_sergeant,augmentum_sergeant_shared,augmentum_crossbow,augmentum_crossbow_shared,augmentum_infantry,augmentum_infantry_shared,location
344,Roger of Buonalbergo,Rogerius Bonialbergi,Count,Benevento,Terra Beneventana,Apice,Apice,6,,,,King ,domino Rege,31,50,2,0,,,,,
344,Roger of Buonalbergo,Rogerius Bonialbergi,Count,Benevento,Terra Beneventana,Buonalbergo,Bonoalbergo,4,,,,King ,domino Rege,,,,,,,,,
344,Roger of Buonalbergo,Rogerius Bonialbergi,Count,Benevento,Terra Beneventana,S. Severo,Sancto Severo,3,,,,King ,domino Rege,,,,,,,,,
345,Robert of Monte Malo,Robbertus de Monte Malo,,Benevento,Terra Beneventana,Joa,Joem,3,yes,,,Thomas of Finocchio,Thomasii de Feniculo,6,0,0,0,,,,,
345,Robert of Monte Malo,Robbertus de Monte Malo,,Benevento,Terra Beneventana,Palata,Palatam,,yes,,,Thomas of Finocchio,Thomasii de Feniculo,,,,,,,,,
345,Robert of Monte Malo,Robbertus de Monte Malo,,Benevento,Terra Beneventana,S. Giovanno Maitin,Sanctum Johannem Maytin,,yes,,,Thomas of Finocchio,Thomasii de Feniculo,,,,,,,,,
346,Robert of Marca,Robbertus de Marca,,Benevento,Terra Beneventana,Reino,Reginam,1,,,,Thomas of Finocchio,Thomasii de Feniculo,4,0,0,0,,,,,
346,Mallerius of Marca,Mallerius de Marca,,Benevento,Terra Beneventana,Pesco Sannita,Pesclum,1,,,,Thomas of Finocchio,Thomasii de Feniculo,,0,0,0,,,,,
347,Savarinus of Terra Rubea,Savarinus de Terra Rubea,,Benevento,Terra Beneventana,Tammaro,Thamarum,2,,,,Thomas of Finocchio,Thomasii de Feniculo,8,0,0,0,,,,,
347,Savarinus of Terra Rubea,Savarinus de Terra Rubea,,Benevento,Terra Beneventana,Terra Rubea,Terram Rubeam,2,,,,Thomas of Finocchio,Thomasii de Feniculo,,,,,,,,,
348,Bartholomew of Pietrelcina,Bartholomeus de Petrapulcina,,Benevento,Terra Beneventana,Pietrelcina,Petrampulcinam,1,,,,Thomas of Finocchio,Thomasii de Feniculo,2,0,0,0,,,,,
349,Rao Pinellus,Rao Pinellus,,Benevento,Terra Beneventana,Fragneto l'Abate,Farnitum,1,,,,Thomas of Finocchio,Thomasii de Feniculo,2,0,0,0,,,,,
349,Thomas of Finocchio,Thomasii de Feniculo,,Benevento,Terra Beneventana,345-349,,,,,,Roger of Buonalbergo,Rogerius Bonialbergi,22,,,,,,,,
350,Gerard of Greci,Gerardus de Grecia,,Avellino,Avellinum,Greci ,Greciam,3,,,,Roger of Buonalbergo,Rogerius Bonialbergi,12,12,0,0,,,,,
350,Gerard of Greci,Gerardus de Grecia,,Avellino,Avellinum,Savignano di Puglia ,Savinnanum,1,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
350,Gerard of Greci,Gerardus de Grecia,,Benevento,Terra Beneventana,Ferrara,Ferraram,2,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
351,Wife of Potofranculus and Wife of Potefranco,Uxor [Roberti] Potifranculi (cor. Potifranci) et [Uxor] Guillelmi Pontifranci (cor. Potifranci),,Avellino,Avellinum,Monte Calvo Irrpino ,Montem Calvum,4,,,,Gerard de Greci,Gerardus de Grecia,10,0,0,0,,,,,
